Company Name,Company Description,Website URL,Linkedin URL,Careers Page URL,Job listings page URL,job post1 URL,job post1 title,job post2 URL,job post2 title,job post3 URL,job post3 title
Forest Stewardship Council,Promoting sustainable forestry to combat climate and biodiversity crises globally.,https://fsc.org/en,https://www.linkedin.com/company/forest-stewardship-council-u.s.,https://fsc.org/en/careers-at-fsc,https://fsc.org/en/careers-at-fsc,https://fsc.org/en/careers-at-fsc,For Forest Managers,https://fsc.org/en/careers-at-fsc,For Forest Managers,,
Polestar,Driving society forward with uncompromised electric performance and progressive innovation.,https://www.polestar.com/us/polestar-3/configurator/,https://se.linkedin.com/company/polestarcars,,,,,,,,
Sweep,Streamline carbon management and reduction across your business with comprehensive software solutions.,https://www.sweep.net/,https://www.linkedin.com/company/sweep-softwareforsustainability,,,,,,,,
Climate Bonds Initiative,Mobilizing $100 trillion bond market for global climate solutions.,https://www.climatebonds.net/,https://www.linkedin.com/company/climate-bonds-initiative,,,,,,,,
Fuse Energy,Accelerating global renewable energy transition with comprehensive solutions.,https://business.nvcoc.com/list/member/fuse-energy-17838,https://www.linkedin.com/company/fuseenergyhq,https://business.nvcoc.com/jobs?o=date&d=1,https://business.nvcoc.com/jobs?o=date&d=1,https://business.nvcoc.com/jobs/info/manufacturing-fabrication-shop-manager-7939,Fabrication Shop Manager,https://business.nvcoc.com/jobs/info/manufacturing-cad-manager-7940,CAD Manager,https://business.nvcoc.com/jobs/info/manufacturing-field-service-engineer-technician-7941,Field Service Engineer / Technician
ESG Book,"Transforming sustainability data access for 50,000+ companies to drive impactful climate solutions.",https://www.esgbook.com/,https://www.linkedin.com/company/esgbook,https://www.esgbook.com/about#careers,https://www.esgbook.com/about#careers,https://apply.workable.com/esg-book/?not_found=true,Platform EngineerHybridLEARN MORE,,,,
Altruistiq,Automate and optimize corporate sustainability data for impactful climate action.,https://www.altruistiq.com/about-us/careers,https://uk.linkedin.com/company/altruistiq,https://www.altruistiq.com/about-us/careers,https://www.altruistiq.com/about-us/careers,,,,,,
Tandem,Banking solutions that promote green finance and support eco-friendly financial decisions.,https://www.zhihu.com/question/363194777,https://au.linkedin.com/company/tandemah,,,,,,,,
Willow,"Optimize buildings for security, sustainability, and efficiency with real-time integrated facility management.",https://www.dcurbanmom.com/jforum/posts/list/307711.page,https://za.linkedin.com/company/willow-way-fitness,,,,,,,,
Qwello,Designing user-focused EV chargers to accelerate Europe's electric transition and climate goals.,https://qwello.eu/en,https://www.linkedin.com/company/qwello,,,,,,,,
